input_id	dealiased_id	standard_id	short_id
url	url	url	u0DlQJir
url:https://www.nature.com/articles/s41592-020-00999-z	url:https://www.nature.com/articles/s41592-020-00999-z	url:https://www.nature.com/articles/s41592-020-00999-z	1AK03u1ij
PMID:22610994	PMID:22610994	pubmed:22610994	11vyuKWyw
url:https://www.nature.com/articles/s41596-020-0341-5	url:https://www.nature.com/articles/s41596-020-0341-5	url:https://www.nature.com/articles/s41596-020-0341-5	Godx0lID
url:https://www.nature.com/articles/nprot.2016.156	url:https://www.nature.com/articles/nprot.2016.156	url:https://www.nature.com/articles/nprot.2016.156	BfLOIXkt
url:https://pubs.rsc.org/en/content/articlelanding/2020/an/d0an01149e/unauth	url:https://pubs.rsc.org/en/content/articlelanding/2020/an/d0an01149e/unauth	url:https://pubs.rsc.org/en/content/articlelanding/2020/an/d0an01149e/unauth	10Oci3CsB
url:https://journals.asm.org/doi/10.1128/mSystems.00043-16	url:https://journals.asm.org/doi/10.1128/mSystems.00043-16	url:https://journals.asm.org/doi/10.1128/mSystems.00043-16	1KXJQZAl
url:10.3389/fgene.2021.635971	url:10.3389/fgene.2021.635971	url:10.3389/fgene.2021.635971	icUA1eks
url:https://doi.org/10.1074/mcp.M115.053702	url:https://doi.org/10.1074/mcp.M115.053702	url:https://doi.org/10.1074/mcp.M115.053702	o3mY4AQa
